,entity_name,filename,entity_type,snippet
0,Nicohaus,NL-HaNA_1.04.02_6847_0018.txt,PERSON,"Nicohaus
„

hun zo"
1,Codicil off,NL-HaNA_1.04.02_6847_0018.txt,PERSON,testament Codicil off zodanig a
2,t besl,NL-HaNA_1.04.02_6847_0018.txt,PERSON,"danig als t besl naregten
"
3,E Comp,NL-HaNA_1.04.02_6847_0018.txt,ORG,eerd in s E Comp=s wooning
4,Abraham Alomons,NL-HaNA_1.04.02_6847_0018.txt,PERSON,"eesen van Abraham Alomons
en Arnold"
5,Arnoldus Iacobsz,NL-HaNA_1.04.02_6847_0018.txt,PERSON,"lomons
en Arnoldus Iacobsz: klerken "
6,"getekend/ E
Blomhert",NL-HaNA_1.04.02_6847_0018.txt,ORG,"tor / was getekend/ E
Blomhert nots: ter"
7,stond/,NL-HaNA_1.04.02_6847_0018.txt,GPE,er seijde stond/ dit testa
8,getekend/ Meyer,NL-HaNA_1.04.02_6847_0018.txt,ORG,"1768
/was getekend/ Meyer Secretari"
9,Tjank,NL-HaNA_1.04.02_6847_0018.txt,PERSON,"ecretaris
Tjank Cramer
N„"
10,Jan Zalle,NL-HaNA_1.04.02_6847_0018.txt,PERSON,ij andres Jan Zalle nots pnst
11,hove van Holland,NL-HaNA_1.04.02_6847_0018.txt,PERSON,"en
Edelen hove van Holland ende Edel"
12,naargenoemde,NL-HaNA_1.04.02_6847_0018.txt,GPE,tie vande naargenoemde getuijgen
13,"mons
",NL-HaNA_1.04.02_6847_0018.txt,PERSON,"getuijgen mons
wonende
Ia"
14,Iank Cramer,NL-HaNA_1.04.02_6847_0018.txt,ORG,"s
wonende
Iank Cramer Chirurgin"
15,"Comp
",NL-HaNA_1.04.02_6847_0018.txt,ORG,"te der E: Comp
binnen des"
16,Bchoon,NL-HaNA_1.04.02_6847_0018.txt,ORG,"
De welke Bchoon Ziek van "
17,uyts prake,NL-HaNA_1.04.02_6847_0018.txt,PERSON,verwaarde uyts prake te kennen
18,onbedwonge,NL-HaNA_1.04.02_6847_0018.txt,GPE,e vrij en onbedwonge wille zon
19,arsponeeren,NL-HaNA_1.04.02_6847_0018.txt,GPE,mentna te arsponeeren en voegen
20,deenu,NL-HaNA_1.04.02_6847_0018.txt,GPE," doek bij deenu na voor„
"
21,Codicillen,NL-HaNA_1.04.02_6847_0018.txt,ORG,stamenten Codicillen en andere
22,Brankman,NL-HaNA_1.04.02_6847_0018.txt,ORG,"aed
Eijko Brankman ond stuur"
23,ond,NL-HaNA_1.04.02_6847_0018.txt,ORG, Brankman ond stuurman 
24,almen,NL-HaNA_1.04.02_6847_0018.txt,GPE,"ega„
hais almen komt en z"
25,Europa,NL-HaNA_1.04.02_6847_0018.txt,GPE,"an hem na
Europa of waar h"
26,mivereele,NL-HaNA_1.04.02_6847_0018.txt,GPE,eheele in mivereele Efgename 
27,Efgename,NL-HaNA_1.04.02_6847_0018.txt,PERSON,mivereele Efgename ze nomine
28,nomineeren,NL-HaNA_1.04.02_6847_0018.txt,GPE,gename ze nomineeren en ostitu
29,ostitueeren,NL-HaNA_1.04.02_6847_0018.txt,GPE,"neeren en ostitueeren
N

Too


"
30,cré,NL-HaNA_1.04.02_6847_0031.txt,ORG," acken in cré„
diten ni"
31,ugtgesondert,NL-HaNA_1.04.02_6847_0031.txt,PERSON,"ten niets ugtgesondert,
Tot Exec"
32,testamente besorgers,NL-HaNA_1.04.02_6847_0031.txt,PERSON,urs deser testamente besorgers van zijne
33,zijne begra,NL-HaNA_1.04.02_6847_0031.txt,PERSON,"rgers van zijne begra„
venisse "
34,Lambertus Daniel Kreps,NL-HaNA_1.04.02_6847_0031.txt,PERSON,"n
Zoon dE Lambertus Daniel Kreps meerm: dE"
35,Jan coenraad,NL-HaNA_1.04.02_6847_0031.txt,PERSON,"meerm: dE Jan coenraad
Peijlner "
36,Peijlner,NL-HaNA_1.04.02_6847_0031.txt,ORG," coenraad
Peijlner ond:r koo"
37,r koopm,NL-HaNA_1.04.02_6847_0031.txt,PERSON,jlner ond:r koopm: tendeemt
38,Andries Matthijs,NL-HaNA_1.04.02_6847_0031.txt,PERSON,"en mons:r Andries Matthijs
Freschel "
39,bespreekende,NL-HaNA_1.04.02_6847_0031.txt,PERSON,erende en bespreekende een somma
40,Hondert rd,NL-HaNA_1.04.02_6847_0031.txt,ORG," van drie
Hondert rd:s munte b"
41,munte,NL-HaNA_1.04.02_6847_0031.txt,GPE,dert rd:s munte bovengeme
42,afsonderlijk,NL-HaNA_1.04.02_6847_0031.txt,GPE,als ieder afsonderlijk zodanige 
43,ample,NL-HaNA_1.04.02_6847_0031.txt,PERSON," zodanige ample magt
en g"
